name,careers_url,website,is_listed,listing_market,ticker,prefecture,industry,employee_count,source_list
任天堂株式会社,https://www.nintendo.co.jp/jobs/keyword/index.html,https://www.nintendo.co.jp,1,プライム,7974,京都府,ゲーム,7724,jpx
株式会社スクウェア・エニックス・ホールディングス,https://www.jp.square-enix.com/recruit/career/,https://www.jp.square-enix.com,1,プライム,9684,東京都,ゲーム,5700,jpx
株式会社バンダイナムコホールディングス,https://www.bandainamco.co.jp/recruit/,https://www.bandainamco.co.jp,1,プライム,7832,東京都,エンタメ,11345,jpx
株式会社カプコン,https://www.capcom.co.jp/recruit/career/,https://www.capcom.co.jp,1,プライム,9697,大阪府,ゲーム,3766,jpx
セガサミーホールディングス株式会社,https://www.segasammy.co.jp/ja/recruit/,https://www.segasammy.co.jp,1,プライム,6460,東京都,エンタメ,8000,jpx
株式会社コーエーテクモホールディングス,https://www.koeitecmo.co.jp/recruit/,https://www.koeitecmo.co.jp,1,プライム,3635,神奈川県,ゲーム,2100,jpx
